molecule_chembl_id,target_chembl_id,pchembl_value,canonical_smiles,protein
CHEMBL260136,CHEMBL2095188,7.68,N#Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccncc1-3,COX1
CHEMBL260428,CHEMBL2095188,6.39,O=C1Cc2c(n(Cc3ccccc3)c3ccccc23)-c2cnccc2N1,COX1
CHEMBL260487,CHEMBL2095188,7.6,O=C1Cc2c([nH]c3ccc(I)cc23)-c2ncccc2N1,COX1
CHEMBL260656,CHEMBL2095188,6.0,Cn1c2c(c3ccccc31)CC(=O)Nc1cccnc1-2,COX1
CHEMBL260657,CHEMBL2095188,7.29,O=C1Cc2c([nH]c3ccc(F)cc23)-c2cnccc2N1,COX1
CHEMBL260678,CHEMBL2095188,6.1,O=C1Cc2c([nH]c3ccccc23)-c2ncccc2N1,COX1
CHEMBL260679,CHEMBL2095188,6.1,O=C1Cc2c([nH]c3cc(Cl)cc(Cl)c23)-c2ncccc2N1,COX1
CHEMBL261025,CHEMBL2095188,4.0,O=C1Cc2c([nH]c3ccc(C(=O)O)cc23)-c2ncccc2N1,COX1
CHEMBL261252,CHEMBL2095188,5.85,O=C1Cc2c([nH]c3ccc(O)cc23)-c2ncccc2N1,COX1
CHEMBL261439,CHEMBL2095188,6.37,Nc1n[nH]c2ncc(-c3ccccc3)cc12,COX1
CHEMBL261470,CHEMBL2095188,7.1,O=C1Cc2c([nH]c3ccc(F)cc23)-c2ncccc2N1,COX1
CHEMBL261720,CHEMBL2095188,6.85,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=S)Nc1c(F)cccc1F,COX1
CHEMBL26218,CHEMBL2095188,5.3,CCn1c(=O)sn(C)c1=O,COX1
CHEMBL26241,CHEMBL2095188,5.16,CCn1sc(=O)n(Cc2ccccc2)c1=O,COX1
CHEMBL26274,CHEMBL2095188,5.7,Cn1sc(=O)n(-c2cccc3ccccc23)c1=O,COX1
CHEMBL264177,CHEMBL2095188,7.55,N#Cc1ccc2c(c1)-c1[nH]c3ccc(C#N)cc3c1CC(=O)N2,COX1
CHEMBL26515,CHEMBL2095188,5.7,COc1ccc(-n2c(=O)sn(C)c2=O)cc1,COX1
CHEMBL26551,CHEMBL2095188,4.46,CCn1c(=O)sn(C(C)C)c1=O,COX1
CHEMBL28,CHEMBL2095188,5.85,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,COX1
CHEMBL284365,CHEMBL2095188,5.0,O=c1sn(Cc2ccccc2)c(=O)n1Cc1ccccc1,COX1
CHEMBL284861,CHEMBL2095188,5.7,Cn1sc(=O)n(Cc2ccccc2)c1=O,COX1
CHEMBL286009,CHEMBL2095188,5.0,CCCn1sc(=O)n(CC)c1=O,COX1
CHEMBL287864,CHEMBL2095188,5.7,Cn1sc(=O)n(-c2ccccc2)c1=O,COX1
CHEMBL288064,CHEMBL2095188,5.1,Ic1cccc(CSc2nnc(-c3ccncc3)o2)c1,COX1
CHEMBL296586,CHEMBL2095188,7.64,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,COX1
CHEMBL303926,CHEMBL2095188,6.2,Fc1ccc(/C=N/Nc2ncnc3c2cnn3-c2ccccc2)cc1,COX1
CHEMBL304533,CHEMBL2095188,8.8,CN(C)CCNC(=O)c1ccc(/C=N/Nc2ncnc3c2cnn3-c2cccc3[nH]cnc23)cc1,COX1
CHEMBL305901,CHEMBL2095188,5.64,c1ccc(-c2cc3[nH]ccnc-3n2)cc1,COX1
CHEMBL306263,CHEMBL2095188,5.72,Fc1ccc(-c2cc3[nH]ccnc-3n2)cc1,COX1
CHEMBL306347,CHEMBL2095188,5.1,Clc1ccc(-c2[nH]c3nccnc3c2CC2CCCCC2)cc1,COX1
